0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-3.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-6.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-5.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-4.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-7.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-8.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:41 +0700] "GET /shopbangiay-jsp-servlet/template/web/img/favicon.ico HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/trang-chu HTTP/1.1" 200 50620
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/carousel-1.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/carousel-2.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/carousel-3.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/offer-1.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/cat-1.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/cat-2.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/cat-3.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/offer-2.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/cat-4.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/product-1.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/product-2.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/product-3.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/product-4.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/product-5.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/product-6.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/product-7.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/product-8.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-3.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-4.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-5.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-6.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/payments.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-7.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-8.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-4.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-3.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-5.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-6.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-7.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:51 +0700] "GET /shopbangiay-jsp-servlet/img/vendor-8.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:55 +0700] "GET /shopbangiay-jsp-servlet/shop.html HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:55 +0700] "GET /favicon.ico HTTP/1.1" 404 684
